provincia,municipio,distrito_municipal,recinto_nombre,recinto_direccion,sector,colegios_lista
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO ADVENTISTA LA FE,STA. RITA EDIF. 6 APT. 2 M,AGUA DULCE (PARTE DEL 27 DE FEBRERO),"0662,0662A,0663,0663A,1542"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA DOMINGO SAVIO,AV. FCO. DEL R. SANCHEZ,AGUA DULCE (PARTE DEL 27 DE FEBRERO)z,"0654,0654A,0654B,0654C,0654D,0654E,0654F,0655,0655A,0655B,0656,0656A,0657,0657A,0658,0658A,0659,0659A,0660,0660A,0661,0661A,0664,0664A,0665,0665A,0666,0666A,0667,0667A,0668,0668A,0669,0669A,0671,0671A,0677,0677A,0677B,1843,1855"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,"CRUZ ROJA DOMINICANA, ESTA- CION EL BOMBERITO",CALLE 11-A/PEDRO E. MONTAS,LOS GUANDULES,"0684,0684A,0687,0687A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO MADRE MAZZARELLO,CALLE MANUELA DIEZ NO. 76 ESQ. CALLE ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0635,0635A,0642,0642A,1740,1856"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA REPUBLICA DE HON- DURAS,ALBERT THOMAS/FEDERICO V.,MARIA AUXILIADORA,"0609,0609A,0610,0610A,0611,0611A,0618,0618A,0619,0619A,0629,0629A,0630,0630A,0631,0631A,0632,0633,0634,0634A,0636,0636A,0637,0637A,0638,0638A,0639,0639A,0640,0640A,0641,0678,0678A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,BIBLIOTECA PUBLICA FROILAN TAVAREZ HIJO,TTE. AMADO GARCIA NO.155,MEJORAMIENTO SOCIAL,"0594,0595,0595A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO DERMATOLOGICO DR. HUBERTO BOGAERT DIAZ,CALLE FEDERICO VELAZQUEZ ESQ. CALLE ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0606,0606A,0607,0607A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO TECNICO SALESIANO,ALBERT THOMAS NO.66,MEJORAMIENTO SOCIAL,"0621,0621A,0622,0622A,0623,0623A,0624,0624A,0625,0625A,0626,0626A,0627,0627A,0628,0628A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ORATORIO MARIA AUXILIADORA,M. DIEZ/ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0596,0596A,0598,0599,0600,0600A,0601,0601A,0602,0602A,0603,0604,0605,0605A,0620,0620A,1741,1857"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB DEP. CULT. RAFAEL L. SOLANO,FRANK DIAZ 10,SAN MARTIN DE POR- RES (GUACHUPITA),"0646,0646A,0647,0647A,0653,0653A"
